,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-34141,Sr(LaS2)2,Tetragonal,I-42d,False,0.0,-2.4914909694642864,7.0,-17.294223374751628,-17.231315362294335,-17.170254743203998,-17.105224501584296,-17.033501360445843,-16.908628832784757,-16.571165845766167,-16.22490064422369,-15.863592685328191,-15.482908609924483,-15.095022385130193,-14.699894652620559,-14.297570244127227,-13.87784375731906,-13.37787507510296,-12.872101215470813,-12.360599033703615
mp-1192751,Sr(LuS2)2,Orthorhombic,Pnma,True,0.0,-2.434263863869045,7.0,-16.942012685902665,-16.891618672175507,-16.844040077933347,-16.79339562858682,-16.736423103269235,-16.626773803752176,-16.305064697310634,-15.975110975972097,-15.635354690056607,-15.28877553425156,-14.934975573306335,-14.573668778429244,-14.20465745660718,-13.817506117930598,-13.349148703450176,-12.873806653606874,-12.377558792899702
mp-8736,Sr(Mo3S4)2,Triclinic,P-1,True,0.0,-1.0331986675000016,15.0,-15.601545054813498,-15.580342259398636,-15.568279724476014,-15.55173516726099,-15.523316867789935,-15.390702981470382,-14.83413473204979,-14.264752610709717,-13.680081352422956,-13.082503322514539,-12.471259377461283,-11.845838464739128,-11.205923560746246,-10.541020030996403,-9.78804163637637,-9.02122232178386,-8.24045937802915
mp-37108,Sr(NdS2)2,Tetragonal,I-42d,False,0.0009920742857190135,-2.388871474464285,7.0,-16.44591184821853,-16.349646723743778,-16.254795764673077,-16.155206151617357,-16.047402159020073,-15.884846458295765,-15.507988114973035,-15.120484783638318,-14.716721925504537,-14.301283629724557,-13.866384284206788,-13.422102165491992,-12.968618914142208,-12.495855572351346,-11.941086030384978,-11.37884058498297,-10.809289370174316
mp-38240,Sr(PrS2)2,Tetragonal,I-42d,False,0.0,-2.38549207922619,7.0,-16.403218003325307,-16.302458167295157,-16.20331978277571,-16.09963552035042,-15.98794001876809,-15.821706313748583,-15.441420782319698,-15.048906597024025,-14.640966175078018,-14.15685531626314,-13.661324035787374,-13.157268146596103,-12.644817467724714,-12.113843292701509,-11.501567690265404,-10.882491937101339,-10.256740564294835
mp-17678,Sr(ScS2)2,Orthorhombic,Pnma,True,0.0,-2.282301814107143,7.0,-15.87885936406315,-15.829147477975663,-15.782286250011298,-15.732276252499913,-15.675797224464947,-15.56646315617879,-15.244884796333233,-14.914881482677895,-14.57490977556028,-14.227976316861662,-13.873712191386337,-13.511868681841825,-13.142285406714203,-12.749626632532763,-12.275102612728336,-11.779440462199055,-11.275033976682987
mp-34508,Sr(SmS2)2,Tetragonal,I-42d,False,0.01238997607143233,-2.361331452857141,7.0,-16.25897282655437,-16.161151971624342,-16.062272358846045,-15.956253718967735,-15.839784082457127,-15.666543771140734,-15.277224375291937,-14.875734365686213,-14.460090856124987,-14.029857466258079,-13.583021502064069,-13.120667095916223,-12.648912562471018,-12.157697599671941,-11.58429817064564,-11.003263227881584,-10.414764978269826
mp-1193989,Sr(TbS2)2,Orthorhombic,Pnma,True,0.0,-2.4364274405357156,7.0,-16.78634247368359,-16.691794681418976,-16.599359608737824,-16.50293625777772,-16.39911316167519,-16.24147736350874,-15.870631320525915,-15.490402661920587,-15.099245875179204,-14.700169675044098,-14.292803073458503,-13.876874551658203,-13.449746659154833,-12.991430089383407,-12.4473761695168,-11.89611374529213,-11.337794294988791
mp-1194307,Sr(TmS2)2,Orthorhombic,Pnma,True,0.0,-2.4419534116071446,7.0,-16.808658074988074,-16.711170726212284,-16.616361988091104,-16.518367168923703,-16.413870153455658,-16.256410308960966,-15.886598384131414,-15.508309683965422,-15.12008161039208,-14.725003719735328,-14.322804521269587,-13.91333479503356,-13.49653780256666,-13.062125227095061,-12.547182328527297,-12.010197531809691,-11.463266140686732
mp-29035,Sr(YS2)2,Orthorhombic,Pnma,True,0.0,-2.4390775433928575,7.0,-17.001929188298124,-16.957901212430833,-16.916319686778714,-16.871234932337195,-16.81937021821213,-16.714418303396425,-16.397064559580265,-16.071215384678062,-15.73541439920212,-15.39275945092063,-15.042976976246942,-14.68591360949765,-14.321508466490014,-13.939467011867013,-13.473937261405968,-12.986139670938844,-12.492014701488444
mp-14680,Sr2Ga2S5,Orthorhombic,Pbca,True,0.012408992916664197,-1.6531289633333328,9.0,-14.705762100024982,-14.60051028884694,-14.498961217163693,-14.393533109852847,-14.28009357265193,-14.100182908143694,-13.655311866019428,-13.197740944543028,-12.725255337602768,-12.244511909074188,-11.755276865334434,-11.257449928188244,-10.7510352141995,-10.215532180433629,-9.525139764875764,-8.828610180865535,-8.125973319705185
mp-4578,Sr2GeS4,Monoclinic,P2_1/m,True,0.0,-1.6842971299999985,7.0,-11.72701671503117,-11.686007569345538,-11.647844936060906,-11.606524205354445,-11.558741699138142,-11.457402489199639,-11.144019018794655,-10.818924073358971,-10.480058070834543,-10.105866322325834,-9.721303019855883,-9.329615326320843,-8.93083459985543,-8.504470937947122,-7.9247210686083,-7.340327860481189,-6.751302873723201
mp-1199935,Sr2Re6S11,Trigonal,R-3c,True,0.006993453881581679,-1.137290008815788,19.0,-21.610065765787354,-21.54174019861471,-21.481643104011745,-21.413652892691665,-21.328931844170715,-21.100777023391927,-20.290470988951398,-19.461428582908475,-18.61006604061797,-17.742148982193086,-16.856848039826115,-15.953654174700787,-15.032348753577192,-14.072268687989315,-12.94755607958615,-11.806924877890516,-10.65043496231219
mp-1104926,Sr2SiS4,Monoclinic,P2_1/m,True,0.0,-1.7919181737500014,7.0,-12.452354335816423,-12.40532349115668,-12.361480144543373,-12.314668367295823,-12.261511931188682,-12.154882742232545,-11.836282879377777,-11.506062747379238,-11.162180383497947,-10.811399490298175,-10.45353667364968,-10.088517336589558,-9.71634692648921,-9.31188196774184,-8.72776868828209,-8.139035907936329,-7.545693114000882
mp-30294,Sr2SnS4,Orthorhombic,Ama2,True,0.0,-1.6002927173214272,7.0,-11.118476075763162,-11.070729138507005,-11.011120727954584,-10.946987168106986,-10.875955495495054,-10.751046862126147,-10.413866990003976,-10.06484505260392,-9.702003345880058,-9.332153248201191,-8.95515696838054,-8.570973075232267,-8.179638109043768,-7.760666313024636,-7.188256488048327,-6.611156684909744,-6.029378463766282
