MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom"
mp-8947,Sr4 B8 S16,Sr1 B2 S4,-1.233453989,-1.3312688
mp-1211986,K8 Hg12 S16,K2 Hg3 S4,-0.758335309,-0.8382917
mp-1200447,La8 Y8 S24,La1 Y1 S3,-2.46285816,-2.5553138
mp-1103493,Tm1 Mo6 S8,Tm1 Mo6 S8,-0.998825906,-1.2487475
mp-667323,Mg6 Ga12 S24,Mg1 Ga2 S4,-1.181282878,-1.2985226
mp-5821,Ta2 Ag2 S6,Ta1 Ag1 S3,-0.95496328,-1.1005458
mp-562537,Ta4 Ni6 S16,Ta2 Ni3 S8,-1.044254566,-1.1501542
mp-7792,Y4 Sc4 S12,Y1 Sc1 S3,-2.274756047,-2.3946388
mp-4544,Ba8 Co4 S12,Ba2 Co1 S3,-1.598908759,-1.7710799
mp-18148,K12 Ta4 S16,K3 Ta1 S4,-1.51260313,-1.6201817
mp-4001,Ba2 Ta2 S6,Ba1 Ta1 S3,-1.782052072,-2.018359
mp-1189266,K2 Cr6 S10,K1 Cr3 S5,-1.114105531,-1.2108487
mp-680170,Cs6 Ti6 S27,Cs2 Ti2 S9,-1.324532681,-1.4586197
mp-1232129,Er4 Mg2 S8,Er2 Mg1 S4,-2.173367974,-2.2841308
mp-1226432,Cs1 V6 S8,Cs1 V6 S8,-1.271067919,-1.3691761
mp-1222312,Li1 Eu1 S2,Li1 Eu1 S2,-1.706453019,-1.8431569
mp-1224473,Hf2 Ni1 S4,Hf2 Ni1 S4,-1.54656867,-1.7314087
mp-1386933,Ca1 Ti4 S8,Ca1 Ti4 S8,-1.78995498,-1.9044987
mp-1215370,Zr4 Cu1 S8,Zr4 Cu1 S8,-1.713804263,-1.8428936
mp-1219053,Sm1 Eu1 S2,Sm1 Eu1 S2,-2.329592711,-2.3952734
mp-8751,Rb2 Li2 S2,Rb1 Li1 S1,-1.344601024,-1.4981328
mp-559134,Eu6 As4 S16,Eu3 As2 S8,-1.33463213,-1.4635023
mp-1221580,Mn1 Hg1 S2,Mn1 Hg1 S2,-0.566137746,-0.6412359
mp-1232362,Pr6 Mg6 S18,Pr1 Mg1 S3,-1.573289923,-1.870165
mp-1080726,Zn3 Cr1 S4,Zn3 Cr1 S4,-0.884853989,-1.0277101
mp-981379,Zn3 Cd1 S4,Zn3 Cd1 S4,-0.897149623,-1.1082577
mp-1192902,Tl8 Cu8 S12,Tl2 Cu2 S3,-0.431865203,-0.5506132
mp-1045419,Y2 Cr4 S8,Y1 Cr2 S4,-1.367690169,-1.4883935
mp-1103998,Fe1 Mo6 S8,Fe1 Mo6 S8,-0.756216809,-0.92416066
mp-1193030,Ce8 Co2 S14,Ce4 Co1 S7,-1.951934346,-2.056634
mp-37923,Sm5 Ag1 S8,Sm5 Ag1 S8,-2.113616748,-2.2147582
mp-35785,Y4 Cd2 S8,Y2 Cd1 S4,-1.936081384,-2.0544739
mp-1100384,Ca4 Sn20 S44,Ca1 Sn5 S11,-0.760783526,-0.88327014
mp-1120784,Dy4 Sn2 S6,Dy2 Sn1 S3,-1.564280708,-1.713023
