,MP_id,composition,composition_reduced,"formation_energy_per_atom, MP","Ef(MEGNET), eV/atom",error,Ef_megnet_corrected,Absolute_error,Hd_MP,Hd_MEGNET
241,mp-1105549,Ba4 Hf4 S12,Ba1 Hf1 S3,-2.139200686,-2.2384613,0.099260614,-2.1184613,0.020739386,-0.020429243,0.001455964
242,mp-37070,Pr4 Sm2 S8,Pr2 Sm1 S4,-2.291501157,-2.4163005,0.124799343,-2.2963005,0.004799343,0.037793926,0.03824747
243,mp-1103889,Eu2 Al4 S8,Eu1 Al2 S4,-1.655673241,-1.8139333,0.158260059,-1.6939333,0.038260059,-0.060138588,-0.035842754
244,mp-1247747,Ta1 Cr3 S8,Ta1 Cr3 S8,-1.000188341,-1.1206648,0.120476459,-1.0006648,0.000476459,0.029177095,0.030736263
245,mp-10953,Sc4 Cd2 S8,Sc2 Cd1 S4,-1.793571593,-1.9594333,0.165861707,-1.8394333,0.045861707,-0.009535794,-0.005021519
246,mp-9368,Rb1 Tm1 S2,Rb1 Tm1 S2,-2.092241661,-2.1808932,0.088651539,-2.0608932,0.031348461,-0.173196979,-0.139227154
247,mp-616544,Rb2 Cr6 S10,Rb1 Cr3 S5,-1.109504842,-1.19012,0.080615158,-1.07012,0.039384842,-0.015182452,0.025263334
248,mp-1238817,Li2 Cr4 S8,Li1 Cr2 S4,-1.092606321,-1.1953425,0.102736179,-1.0753425,0.017263821,-0.00437138,0.013983698
249,mp-15999,Li6 Au2 S4,Li3 Au1 S2,-1.188375173,-1.2626309,0.074255727,-1.1426309,0.045744273,-0.00998706,0.054209214
250,mp-28383,K4 Na4 S4,K1 Na1 S1,-1.285518808,-1.2929579,0.007439092,-1.1729579,0.112560908,-0.011149014,0.054086441
251,mp-1018632,Ho1 Cu2 S2,Ho1 Cu2 S2,-0.965272918,-1.2208989,0.255625982,-1.1008989,0.135625982,0.307681231,0.198410622
252,mp-1106183,Li4 Al4 S8,Li1 Al1 S2,-1.475958337,-1.6458576,0.169899263,-1.5258576,0.049899263,-0.118576405,-0.112979008
253,mp-1104162,Mn4 Zn2 S8,Mn2 Zn1 S4,-0.910286642,-1.0162596,0.105972958,-0.8962596,0.014027042,0.032681711,0.017944196
254,mp-686094,Ti36 Cu12 S72,Ti3 Cu1 S6,-1.485946756,-1.5816267,0.095679944,-1.4616267,0.024320056,0.002185959,0.027651835
255,mp-557655,Gd1 Tl1 S2,Gd1 Tl1 S2,-1.732895615,-1.8598098,0.126914185,-1.7398098,0.006914185,-0.055895523,-0.059647616
256,mp-6959,Ga2 Ni1 S4,Ga2 Ni1 S4,-0.824087642,-0.9309543,0.106866658,-0.8109543,0.013133342,0.04225468,0.056479279
257,mp-1096832,Al8 Zn2 S14,Al4 Zn1 S7,-1.15394405,-1.3874466,0.23350255,-1.2674466,0.11350255,0.055353651,0.057536393
258,mp-4123,Er1 Tl1 S2,Er1 Tl1 S2,-1.73406794,-1.8927246,0.15865666,-1.7727246,0.03865666,-0.066432872,-0.10192744
259,mp-1248520,Al20 Bi12 S48,Al5 Bi3 S12,-0.973443429,-1.0543355,0.080892071,-0.9343355,0.039107929,0.123294676,0.156116648
260,mp-22332,Ta1 In1 S2,Ta1 In1 S2,-1.10424949,-1.2067989,0.10254941,-1.0867989,0.01745059,-0.00570675,0.016858672
261,mp-630328,Ba12 Fe4 S20,Ba3 Fe1 S5,-1.761267767,-1.8541195,0.092851733,-1.7341195,0.027148267,0.073733675,0.101942887
262,mp-1191745,Sm8 Ni2 S14,Sm4 Ni1 S7,-1.918912605,-2.0773952,0.158482595,-1.9573952,0.038482595,0.17474568,0.137377077
263,mp-1216058,Y2 Te1 S2,Y2 Te1 S2,-2.132069582,-2.15509,0.023020418,-2.03509,0.096979582,-0.003871576,0.110920041
264,mp-1222528,Lu2 Cu6 S6,Lu1 Cu3 S3,-0.989806564,-1.1238343,0.134027736,-1.0038343,0.014027736,0.003704088,0.052699492
265,mp-20708,In2 Ni3 S2,In2 Ni3 S2,-0.54809964,-0.58290714,0.0348075,-0.46290714,0.0851925,-0.075994893,0.01188324
266,mp-622086,La8 Ge4 S20,La2 Ge1 S5,-1.83345575,-1.9320962,0.09864045,-1.8120962,0.02135955,-0.008435203,0.01411791
267,mp-27660,Ba1 Fe2 S4,Ba1 Fe2 S4,-1.149749231,-1.2335384,0.083789169,-1.1135384,0.036210831,0.09490734,0.132209429
268,mp-1221502,Mn1 Zn1 S2,Mn1 Zn1 S2,-1.021535609,-1.0033102,-0.018225409,-0.8833102,0.138225409,0.023947645,0.049406054
269,mp-5928,Al2 Cd1 S4,Al2 Cd1 S4,-1.14668341,-1.3507705,0.20408709,-1.2307705,0.08408709,-0.032280854,-0.007998967
270,mp-1103471,La4 As4 S4,La1 As1 S1,-1.900869981,-1.8905447,-0.010325281,-1.7705447,0.130325281,-0.085727804,-0.030512953
271,mp-1215447,Zn1 Hg1 S2,Zn1 Hg1 S2,-0.678704489,-0.8052139,0.126509411,-0.6852139,0.006509411,0.039913294,0.035856652
272,mp-1443364,Zn2 Ni4 S8,Zn1 Ni2 S4,-0.649955033,-0.8148502,0.164895167,-0.6948502,0.044895167,0.109128138,0.065324228
273,mp-1189296,Ce4 B4 S12,Ce1 B1 S3,-1.517305853,-1.6345311,0.117225247,-1.5145311,0.002774753,0.012690894,0.01738361
274,mp-1222003,Mg1 Cd1 S2,Mg1 Cd1 S2,-1.16627863,-1.3021079,0.13582927,-1.1821079,0.01582927,0.096635489,0.098588668
