,Limiting_reaction,Name,delta_H,dGr_lim
201,II step,La3S4/La2S3,-0.04858715929464141,3.2186478708224797
144,II step,TmS/Tm2S3,-0.20201280753125017,3.2190859861699535
250,II step,Nd3S4/Nd2S3,-0.06060429386607069,3.2485533736869527
256,II step,Nd5S4/Nd2S3,-0.38792916104861574,3.2512754939439796
257,II step,Nd5S4/Nd3S4,-0.32732486718254505,3.2521261565243007
142,II step,Tm8S11/Tm2S3,-0.034738802967103855,3.2689256390882377
22,II step,Nb7S8/Nb3S4,-0.15930140700000117,3.2776131808170117
185,II step,Ce3S4/Ce2S3,-0.05628057236606976,3.2893854919329755
141,II step,Tm5S7/Tm2S3,-0.02521555604687631,3.2942254622829807
191,II step,Lu3S4/Lu2S3,-0.06344095146131412,3.307377181593015
221,II step,Sm3S4/Sm2S3,-0.06906546128571689,3.3488260448299982
351,II step,Gd3S4/Gd2S3,-0.07269565372321596,3.3503129652700316
192,II step,LuS/Lu2S3,-0.24543233511458684,3.354659363105146
193,II step,LuS/Lu3S4,-0.18199138365327272,3.3783004538612094
305,II step,Zr9S2/Zr2S,-0.5632096942424202,3.5300808242464
87,II step,Ti8S3/Ti2S,-0.23562903661615997,3.59226550010154
317,II step,Dy3S4/Dy2S3,-0.0927079800089281,3.661556687803788
451,II step,Sb4Pb4S11/Sb6Pb6S17,-0.06075004350272217,3.8316400080339292
260,II step,Nd5S4/NdS,-0.30851056001736654,4.866465452567645
243,II step,Cu9S5/Cu7S4,-0.05379482236404251,5.558207420992321
318,II step,Dy3S4/Dy5S7,-0.09231570896205366,6.0126858095131155
