,pretty_formula,crystal_system,spacegroup,experimentally_observed,"energy_above_hull, eV/atom",Ef,total_atoms,Gf_400,Gf_500,Gf_600,Gf_700,Gf_800,Gf_900,Gf_1000,Gf_1100,Gf_1200,Gf_1300,Gf_1400,Gf_1500,Gf_1600,Gf_1700,Gf_1800,Gf_1900,Gf_2000
mp-1193140,Cs2S5,Orthorhombic,P2_12_12_1,True,0.0,-0.7456366287946443,7.0,-5.0103735675406185,-4.911497901478672,-4.811731379314844,-4.7067224979268385,-4.594110731011888,-4.417981126519738,-3.9042841232494463,-3.3161094118552317,-2.7256742408744756,-2.1322919319832305,-1.5354956273004081,-0.9349593954587991,-0.33047258806361945,0.2781069749537579,0.8908671694053895,1.5078550940014743,2.129091836146401
mp-29266,CsS,Orthorhombic,Immm,True,0.0,-1.1120510539062494,2.0,-2.1063848303018955,-2.0632127253548034,-2.0203910694012936,-1.9763509885860508,-1.9302710217483547,-1.870787436113848,-1.720651297614399,-1.533448607931311,-1.3455210078085331,-1.1566849626978777,-0.9668175229694054,-0.7758328944198274,-0.5836768882844323,-0.3903139898083827,-0.19572153463163655,0.00011082472854972991,0.19718755859906167
mp-1188913,CsS3,Triclinic,P-1,True,0.0,-0.6567948458593751,4.0,-2.5293582829308066,-2.478413964622964,-2.4267589259160083,-2.372015122680177,-2.3128826911005333,-2.2158729074016925,-1.9240357088057403,-1.594902221855052,-1.2645033986598975,-0.9324426318537107,-0.5984496660590786,-0.2623358117656238,0.07602130036827326,0.41670461880341847,0.7597651726278318,1.1052309118207315,1.453114404542756
mp-581212,Cu2S,Monoclinic,P2_1/c,True,0.012637958263891136,-0.1991156991319419,3.0,-0.527708878183952,-0.505095053302719,-0.4859037252522751,-0.4667923103056668,-0.4459611710048632,-0.4114551367523518,-0.32288507861259436,-0.2318809707611713,-0.13805347610703014,-0.04109438615845977,0.06771702450887673,0.19167859266293813,0.31910733757557475,0.44993656454482317,0.5840917040123876,0.7214955166696585,0.8620658340887388
mp-1225731,Cu3S2,Tetragonal,P-4m2,False,0.09132256061111121,-0.15202822945833247,5.0,-0.6342109202073001,-0.5917353939158809,-0.5541283205224712,-0.5161735318680298,-0.4750519711019545,-0.407299634577722,-0.23240754671457875,-0.053806949991161535,0.12916383338752713,0.317020384363647,0.5228806175105749,0.7517170118070169,0.9860221413049803,1.2257078223780091,1.4706692918706548,1.7207950914441232,1.975963992915002
mp-624299,Cu7S4,Orthorhombic,Pnma,True,0.0,-0.2310039898863633,11.0,-2.2912802436989836,-2.2074378227593736,-2.13530884837935,-2.0629919849459677,-1.9840689006925594,-1.8511652507775789,-1.5029938017491953,-1.1462457444372065,-0.7794807268645094,-0.4015667511055252,0.01805554826180078,0.49095432375209214,0.9762561879610576,1.4737395678583063,1.9831505611718045,2.504223230945538,3.036672012140304
mp-684710,Cu9S5,Triclinic,P-1,False,0.04966975111607219,-0.17720916752232085,14.0,-2.1495163735096754,-2.040057600803849,-1.9457347714884,-1.8513039662234272,-1.7485472157842308,-1.578135004731755,-1.1383909706786337,-0.6876362786302384,-0.22404123951841903,0.2538343530741187,0.7852705899937629,1.3851334605231003,2.0008665965296846,2.632181730281161,3.2787503899472092,3.940229399263206,4.616251024762029
mp-555599,CuS,Orthorhombic,Cmcm,True,0.0,-0.2773044905729165,2.0,-0.5203876232627496,-0.5060435843499148,-0.4931455015043004,-0.4798197902938182,-0.46504703132589825,-0.4373183915515284,-0.3565140243254931,-0.2744351979508502,-0.19080957172365487,-0.10542977319345592,-0.013898613211216512,0.08545855043381412,0.1868172725217887,0.2901560641282182,0.39544473165594746,0.5026490560747927,0.611729977629242
mp-849086,CuS2,Orthorhombic,Pnnm,True,0.005219705173610478,-0.17964995520833446,3.0,-0.4859104087932281,-0.46048871633735644,-0.4359823952523577,-0.4101132759689199,-0.3816227377673638,-0.32793945209816555,-0.16909300796121673,-0.008857236090111797,0.15319554853593287,0.3173792547765588,0.48816472465453975,0.66727804803417,0.848928869984058,1.0331194184326957,1.2198336821469216,1.4090462433447861,1.6007220911876523
mp-1270,Dy2S3,Orthorhombic,Pnma,True,0.0,-2.3791560301874997,5.0,-11.584304150257354,-11.486208620946321,-11.389566505926263,-11.290445774468822,-11.186669956654015,-11.04420242096569,-10.7429425454532,-10.438382514710533,-10.129677202738307,-9.816172665118177,-9.497342063609876,-9.172736420297037,-8.841979034061263,-8.50025110816938,-8.138306211290642,-7.769978142023987,-7.39544668687795
