,Limiting_reaction,Name,delta_H,dGr_lim
4666,II step,CuRhS2/Cu3Rh3S8,-0.017251609999999973,0.2233687759999996
203,II step,NaMnS2/Na2Mn2S5,0.11321091700000008,0.22340663399999983
3534,I step,NiOsS4/NiOsS6,0.08275961900000006,0.22342571049999993
9323,II step,RbInS2/RbInS3,0.10966849300000003,0.2234855630000001
8411,I step,ZnSbS2/ZnSbS4,0.110549868,0.22361126399999987
4974,I step,Mg(AlS2)2/MgAl2S5,0.1524946690000002,0.2237956780000001
8548,II step,BaIrS3/BaIrS4,0.1253224610000001,0.22380986599999986
8471,II step,CoPtS2/CoPtS6,0.07361489499999996,0.22381581174999998
6787,II step,CdGe3S2/CdGe3S8,-0.028893114000000053,0.2239371218333332
9449,I step,Cd3InS4/Cd3InS8,0.181485236,0.22394232549999993
8372,I step,RhAuS2/Rh3Au3S8,0.02479737999999998,0.2239604209999997
8296,II step,HfVS4/HfVS6,0.2441915269999999,0.22406767599999977
3582,I step,PdAuS3/PdAuS4,0.029455720999999935,0.22416459099999964
6993,II step,CoCu2S3/Co(CuS2)2,-0.029695808999999962,0.2243167800000001
1511,II step,Nb2CuS5/Nb2CuS6,0.07363235899999987,0.22445144699999986
4188,II step,BeRuS2/BeRuS4,0.06613779100000006,0.2245505790000002
3750,II step,Mn3Rh3S8/MnRhS6,0.130337178,0.22463515389999988
6595,II step,In4PtS4/In4PtS6,0.013826549000000021,0.22470226900000023
2014,I step,Co2Ag2S5/CoAgS4,-0.008894740999999984,0.22487522533333326
3671,II step,Fe(HgS)3/FeHg3S8,-0.056426168,0.22488117240000002
2837,II step,As3PdS4/As3PdS8,-0.009275495999999994,0.224916919
8446,I step,Ru(AuS)2/Ru(AuS3)2,0.05727445999999997,0.2250304784999999
2882,I step,La2AuS4/La2AuS5,0.18245994999999993,0.2250579179999992
4503,I step,CsCoS2/Cs2Co2S5,0.08174514700000002,0.22512453600000004
28,I step,VAu2S3/VAu2S5,0.13336020699999995,0.22522492749999978
9595,II step,AlInS2/AlInS3,0.09902799100000004,0.2253296119999999
5235,II step,TlTcS3/TlTcS4,0.027037143999999902,0.22534210599999982
3524,I step,NiOs2S5/Ni(OsS3)2,0.03535962100000001,0.22534481799999995
4454,II step,Sc2Rh2S5/ScRhS4,0.17513382500000008,0.22541775000000008
8361,II step,Cr2SnS4/Cr2SnS5,0.04228174600000001,0.22544310600000017
7133,II step,K2In2S3/KInS4,0.17206346999999989,0.22552289579999996
